,Bandeira,Revenda,CNPJ da Revenda,Data da Coleta,Valor de Venda
406381,BRANCA,''AUTO POSTO SOLAR DAS TERRAS LTDA'',9259017000132,13/02/2019,"3,897"
406382,BRANCA,''AUTO POSTO SOLAR DAS TERRAS LTDA'',9259017000132,20/02/2019,"3,897"
406431,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,02/01/2019,"4,599"
406432,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,02/04/2019,"4,399"
406433,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,03/06/2019,"4,599"
406434,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,04/02/2019,"4,399"
406435,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,04/03/2019,"4,299"
406436,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,08/01/2019,"4,599"
406437,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,09/04/2019,"4,399"
406438,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,10/06/2019,"4,599"
406439,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,13/02/2019,"4,299"
406440,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,13/03/2019,"4,399"
406441,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,15/01/2019,"4,399"
406442,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,16/04/2019,"4,399"
406443,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,18/06/2019,"4,599"
406444,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,20/02/2019,"4,299"
406445,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,20/03/2019,"4,399"
406446,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,20/05/2019,"4,599"
406447,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,22/01/2019,"4,399"
406448,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,22/04/2019,"4,599"
406449,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,25/02/2019,"4,299"
406450,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,26/03/2019,"4,399"
406451,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,26/06/2019,"4,599"
406452,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,27/05/2019,"4,599"
406453,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,28/01/2019,"4,399"
406454,IPIRANGA,AMIGOS AUTO POSTO ITU LTDA,887870000124,29/04/2019,"4,599"
406497,RAIZEN,AUTO POSTO  3 W LTDA,55385181000103,02/01/2019,"4,098"
406498,RAIZEN,AUTO POSTO  3 W LTDA,55385181000103,03/06/2019,"4,298"
406499,RAIZEN,AUTO POSTO  3 W LTDA,55385181000103,04/02/2019,"3,999"
406500,RAIZEN,AUTO POSTO  3 W LTDA,55385181000103,06/05/2019,"4,298"
406501,RAIZEN,AUTO POSTO  3 W LTDA,55385181000103,08/01/2019,"4,098"
406502,RAIZEN,AUTO POSTO  3 W LTDA,55385181000103,10/06/2019,"4,298"
406503,RAIZEN,AUTO POSTO  3 W LTDA,55385181000103,13/05/2019,"4,298"
406504,RAIZEN,AUTO POSTO  3 W LTDA,55385181000103,14/01/2019,"3,998"
406505,RAIZEN,AUTO POSTO  3 W LTDA,55385181000103,18/06/2019,"4,098"
406506,RAIZEN,AUTO POSTO  3 W LTDA,55385181000103,20/05/2019,"4,298"
406507,RAIZEN,AUTO POSTO  3 W LTDA,55385181000103,21/01/2019,"3,998"
406508,RAIZEN,AUTO POSTO  3 W LTDA,55385181000103,26/06/2019,"4,098"
406509,RAIZEN,AUTO POSTO  3 W LTDA,55385181000103,27/05/2019,"4,298"
406510,RAIZEN,AUTO POSTO  3 W LTDA,55385181000103,28/01/2019,"3,999"
406583,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,02/01/2019,"4,199"
406584,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,02/04/2019,"4,099"
406585,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,03/06/2019,"4,299"
406586,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,04/02/2019,"3,999"
406587,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,04/03/2019,"4,099"
406588,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,06/05/2019,"4,299"
406589,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,08/01/2019,"4,199"
406590,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,09/04/2019,"4,199"
406591,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,10/06/2019,"4,199"
406592,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,13/03/2019,"4,094"
406593,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,13/05/2019,"4,299"
406594,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,14/01/2019,"3,999"
406595,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,16/04/2019,"4,199"
406596,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,18/06/2019,"4,099"
406597,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,20/03/2019,"4,094"
406598,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,20/05/2019,"4,299"
406599,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,21/01/2019,"3,999"
406600,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,22/04/2019,"4,199"
406601,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,25/02/2019,"4,099"
406602,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,26/03/2019,"4,099"
406603,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,26/06/2019,"4,099"
406604,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,27/05/2019,"4,299"
406605,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,28/01/2019,"3,999"
406606,RAIZEN,AUTO POSTO CEIBA SPECIOSA LTDA,11943389000125,29/04/2019,"4,199"
406673,BRANCA,AUTO POSTO CIDADE DE ITU LTDA.,6332890000115,02/01/2019,"4,099"
406674,BRANCA,AUTO POSTO CIDADE DE ITU LTDA.,6332890000115,02/04/2019,"4,099"
406675,BRANCA,AUTO POSTO CIDADE DE ITU LTDA.,6332890000115,04/02/2019,"3,999"
406676,BRANCA,AUTO POSTO CIDADE DE ITU LTDA.,6332890000115,04/03/2019,"3,999"
406677,BRANCA,AUTO POSTO CIDADE DE ITU LTDA.,6332890000115,05/06/2019,"4,299"
406678,BRANCA,AUTO POSTO CIDADE DE ITU LTDA.,6332890000115,06/05/2019,"4,299"
406679,BRANCA,AUTO POSTO CIDADE DE ITU LTDA.,6332890000115,08/01/2019,"4,099"
406680,BRANCA,AUTO POSTO CIDADE DE ITU LTDA.,6332890000115,09/04/2019,"4,099"
406681,BRANCA,AUTO POSTO CIDADE DE ITU LTDA.,6332890000115,12/06/2019,"4,299"
